"","playerID","ever_inducted","bbwaa_inducted","committee_inducted","induction_method"
"1","aaronha01",TRUE,TRUE,FALSE,"BBWAA"
"2","alexape01",TRUE,TRUE,FALSE,"BBWAA"
"3","alomaro01",TRUE,TRUE,FALSE,"BBWAA"
"4","ansonca01",TRUE,FALSE,TRUE,"Committee"
"5","aparilu01",TRUE,TRUE,FALSE,"BBWAA"
"6","applilu01",TRUE,FALSE,TRUE,"Committee"
"7","ashburi01",TRUE,FALSE,TRUE,"Committee"
"8","averiea01",TRUE,FALSE,TRUE,"Committee"
"9","bagweje01",TRUE,TRUE,FALSE,"BBWAA"
"10","baineha01",TRUE,FALSE,TRUE,"Committee"
"11","bakerfr01",TRUE,FALSE,TRUE,"Committee"
"12","bancrda01",TRUE,FALSE,TRUE,"Committee"
"13","bankser01",TRUE,TRUE,FALSE,"BBWAA"
"14","becklja01",TRUE,FALSE,TRUE,"Committee"
"15","bellco99",TRUE,FALSE,TRUE,"Committee"
"16","benchjo01",TRUE,TRUE,FALSE,"BBWAA"
"17","bendech01",TRUE,FALSE,TRUE,"Committee"
"18","berrayo01",TRUE,TRUE,FALSE,"BBWAA"
"19","biggicr01",TRUE,TRUE,FALSE,"BBWAA"
"20","blylebe01",TRUE,TRUE,FALSE,"BBWAA"
"21","boggswa01",TRUE,TRUE,FALSE,"BBWAA"
"22","bottoji01",TRUE,FALSE,TRUE,"Committee"
"23","boudrlo01",TRUE,TRUE,FALSE,"BBWAA"
"24","bresnro01",TRUE,FALSE,TRUE,"Committee"
"25","brettge01",TRUE,TRUE,FALSE,"BBWAA"
"26","brocklo01",TRUE,TRUE,FALSE,"BBWAA"
"27","broutda01",TRUE,FALSE,TRUE,"Committee"
"28","brownmo01",TRUE,FALSE,TRUE,"Committee"
"29","brownra99",TRUE,FALSE,TRUE,"Committee"
"30","brownwi02",TRUE,FALSE,TRUE,"Committee"
"31","bunniji01",TRUE,FALSE,TRUE,"Committee"
"32","burkeje01",TRUE,FALSE,TRUE,"Committee"
"33","camparo01",TRUE,TRUE,FALSE,"BBWAA"
"34","carewro01",TRUE,TRUE,FALSE,"BBWAA"
"35","careyma01",TRUE,FALSE,TRUE,"Committee"
"36","carltst01",TRUE,TRUE,FALSE,"BBWAA"
"37","cartega01",TRUE,TRUE,FALSE,"BBWAA"
"38","cepedor01",TRUE,FALSE,TRUE,"Committee"
"39","chancfr01",TRUE,FALSE,TRUE,"Committee"
"40","charlos99",TRUE,FALSE,TRUE,"Committee"
"41","chesbja01",TRUE,FALSE,TRUE,"Committee"
"42","clarkfr01",TRUE,FALSE,TRUE,"Committee"
"43","clarkjo01",TRUE,FALSE,TRUE,"Committee"
"44","clemero01",TRUE,FALSE,TRUE,"Committee"
"45","cobbty01",TRUE,TRUE,FALSE,"BBWAA"
"46","cochrmi01",TRUE,TRUE,FALSE,"BBWAA"
"47","collied01",TRUE,TRUE,FALSE,"BBWAA"
"48","colliji01",TRUE,FALSE,TRUE,"Committee"
"49","combsea01",TRUE,FALSE,TRUE,"Committee"
"50","connoro01",TRUE,FALSE,TRUE,"Committee"
"51","coopean99",TRUE,FALSE,TRUE,"Committee"
"52","covelst01",TRUE,FALSE,TRUE,"Committee"
"53","crawfsa01",TRUE,FALSE,TRUE,"Committee"
"54","cronijo01",TRUE,TRUE,FALSE,"BBWAA"
"55","cuyleki01",TRUE,FALSE,TRUE,"Committee"
"56","dandrra99",TRUE,FALSE,TRUE,"Committee"
"57","davisge01",TRUE,FALSE,TRUE,"Committee"
"58","dawsoan01",TRUE,TRUE,FALSE,"BBWAA"
"59","dayle99",TRUE,FALSE,TRUE,"Committee"
"60","deandi01",TRUE,TRUE,FALSE,"BBWAA"
"61","delahed01",TRUE,FALSE,TRUE,"Committee"
"62","dickebi01",TRUE,TRUE,FALSE,"BBWAA"
"63","dihigma99",TRUE,FALSE,TRUE,"Committee"
"64","dimagjo01",TRUE,TRUE,FALSE,"BBWAA"
"65","dobyla01",TRUE,FALSE,TRUE,"Committee"
"66","doerrbo01",TRUE,FALSE,TRUE,"Committee"
"67","drysddo01",TRUE,TRUE,FALSE,"BBWAA"
"68","duffyhu01",TRUE,FALSE,TRUE,"Committee"
"69","eckerde01",TRUE,TRUE,FALSE,"BBWAA"
"70","eversjo01",TRUE,FALSE,TRUE,"Committee"
"71","ewingbu01",TRUE,FALSE,TRUE,"Committee"
"72","faberre01",TRUE,FALSE,TRUE,"Committee"
